V1,V2,V3,V4
638,198,836,0.236842105263158
883,405,1288,0.31444099378882
937,427,1364,0.313049853372434
1229,693,1922,0.360561914672216
752,302,1054,0.286527514231499
1080,594,1674,0.354838709677419
967,459,1426,0.321879382889201
1027,523,1550,0.33741935483871
1088,586,1674,0.350059737156511
1240,682,1922,0.354838709677419
804,336,1140,0.294736842105263
1129,607,1736,0.349654377880184
991,497,1488,0.334005376344086
1217,705,1922,0.366805411030177
751,303,1054,0.287476280834915
1234,688,1922,0.3579604578564
1115,621,1736,0.357718894009217
1218,704,1922,0.366285119667014
794,322,1116,0.288530465949821
756,360,1116,0.32258064516129
9,9,18,0.5
923,441,1364,0.323313782991202
1216,706,1922,0.36732570239334
1221,701,1922,0.364724245577523
8,10,18,0.555555555555556
765,351,1116,0.314516129032258
1058,554,1612,0.343672456575682
20,20,40,0.5
1225,697,1922,0.36264308012487
1232,690,1922,0.359001040582726
